user_profile_id,top_1_correct,top_3_overlap,top_5_overlap,top_10_overlap,ndcg_at_5,ndcg_at_10,reciprocal_rank
412,0,1.0,0.8,0.8,0.992775,0.991626,0.333333
426,1,0.666667,1.0,0.9,0.998768,0.996153,1.0
430,1,1.0,0.8,0.9,0.998808,0.997106,1.0
433,1,1.0,1.0,1.0,1.0,0.999443,1.0
437,1,1.0,1.0,0.8,1.0,0.998098,1.0
440,0,1.0,1.0,0.8,0.998443,0.9938,0.5
446,1,0.666667,1.0,0.9,0.997927,0.997804,1.0
452,1,0.333333,0.4,0.7,0.974034,0.984754,1.0
463,1,1.0,0.6,0.6,0.98347,0.986109,1.0
480,0,0.666667,1.0,0.8,0.990021,0.991161,0.2
487,1,1.0,0.6,0.9,0.989315,0.997004,1.0
494,0,0.666667,1.0,0.8,0.997578,0.996379,0.333333
495,1,0.666667,0.8,0.9,0.992321,0.996972,1.0
500,1,1.0,1.0,0.8,0.996536,0.992493,1.0
514,0,0.333333,0.8,0.9,0.979164,0.986963,0.25
522,0,1.0,0.8,0.7,0.989325,0.990467,0.333333
523,1,0.666667,0.6,0.6,0.972142,0.971697,1.0
527,1,0.666667,1.0,0.8,0.996891,0.99048,1.0
528,0,0.666667,0.6,0.7,0.983267,0.985243,0.166667
529,1,0.666667,0.8,1.0,0.988681,0.996509,1.0
530,0,1.0,1.0,0.7,0.99825,0.993544,0.5
535,0,0.666667,1.0,0.8,0.997032,0.995395,0.5
543,0,0.666667,0.8,0.7,0.991891,0.986274,0.333333
544,1,0.333333,0.2,0.5,0.965498,0.977819,1.0
549,1,0.666667,1.0,0.9,0.999078,0.995634,1.0
550,1,1.0,1.0,0.8,1.0,0.996905,1.0
555,1,0.666667,0.8,0.9,0.990739,0.996227,1.0
560,1,1.0,0.8,0.9,0.998096,0.998457,1.0
571,1,0.666667,0.8,0.7,0.99396,0.994537,1.0
579,1,0.666667,1.0,0.8,0.998909,0.993041,1.0
584,1,0.666667,0.6,0.9,0.9875,0.993975,1.0
585,1,1.0,1.0,0.9,0.999708,0.998003,1.0
590,0,0.666667,0.8,0.8,0.989058,0.98764,0.5
591,1,0.666667,0.8,0.7,0.995873,0.993988,1.0
596,1,0.333333,0.8,0.8,0.990012,0.993015,1.0
600,1,1.0,1.0,0.8,0.999587,0.993474,1.0
602,1,1.0,0.8,0.9,0.99654,0.994259,1.0
605,0,0.666667,1.0,0.8,0.993462,0.990559,0.5
614,1,0.666667,1.0,0.9,0.999126,0.99842,1.0
618,1,0.333333,0.6,0.9,0.994071,0.995838,1.0
622,1,1.0,1.0,0.8,1.0,0.996177,1.0
627,1,0.666667,0.8,0.9,0.997779,0.998342,1.0
636,1,0.666667,1.0,0.9,0.999125,0.997814,1.0
637,1,0.666667,0.6,0.9,0.987189,0.994981,1.0
644,1,0.333333,0.8,0.9,0.997702,0.996395,1.0
645,1,0.666667,0.8,0.8,0.995629,0.995568,1.0
650,1,1.0,1.0,0.8,0.999851,0.996325,1.0
651,0,1.0,0.8,0.8,0.99269,0.988641,0.5
653,1,0.666667,0.6,0.9,0.995594,0.997011,1.0
657,1,0.666667,1.0,0.8,0.998273,0.996312,1.0
661,1,0.333333,0.6,0.9,0.986348,0.99428,1.0
663,1,1.0,0.8,0.8,0.98757,0.992068,1.0
669,1,0.666667,0.6,0.8,0.989287,0.993458,1.0
671,1,0.333333,0.6,0.8,0.967591,0.985201,1.0
678,1,0.333333,0.4,0.7,0.960391,0.977229,1.0
679,1,1.0,0.8,0.7,0.998037,0.991243,1.0
680,0,0.666667,0.8,1.0,0.993024,0.996641,0.5
688,0,1.0,0.8,0.7,0.993697,0.984222,0.333333
690,0,0.666667,0.6,0.8,0.975285,0.983429,0.333333
693,0,0.666667,0.8,0.8,0.988224,0.989187,0.2
698,1,0.333333,0.4,0.8,0.985123,0.992722,1.0
714,1,0.666667,1.0,0.8,0.999,0.996606,1.0
715,1,0.666667,1.0,0.8,0.999292,0.995695,1.0
717,0,0.0,0.6,0.6,0.967258,0.975111,0.142857
722,1,1.0,0.6,0.7,0.985445,0.99169,1.0
738,1,0.666667,0.8,0.9,0.996075,0.995689,1.0
741,0,0.666667,0.8,0.8,0.981071,0.982327,0.5
742,0,0.666667,1.0,0.9,0.987839,0.990682,0.2
750,1,0.666667,1.0,0.8,0.998306,0.995731,1.0
754,0,1.0,0.8,0.9,0.994606,0.994189,0.5
762,1,0.666667,0.6,0.6,0.989961,0.982829,1.0
765,1,0.666667,1.0,0.8,0.999093,0.994746,1.0
768,1,0.666667,1.0,0.8,0.999705,0.997136,1.0
788,1,1.0,0.8,1.0,0.998585,0.999557,1.0
801,1,0.666667,0.8,0.8,0.999173,0.995605,1.0
