source_opentripmap_id,location_name,normalized_name,city,country,category_raw,latitude,longitude,opentripmap_rate,popularity_score,source_wikidata_id,source_osm_id,data_source
N5645513337,"Museum of Central Institute for Archives and Book Pathology ""Alfonso Gallo""","museum of central institute for archives and book pathology ""alfonso gallo""",Rome,Italy,"cultural,museums,interesting_places,other_museums",41.89778137207031,12.491387367248535,3,3,Q3867998,node/5645513337,OpenTripMap
Q19545480,Palazzo Piacentini,palazzo piacentini,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.90549850463867,12.488638877868652,3,3,Q19545480,,OpenTripMap
W203996025,Chiesa di San Patrizio a Villa Ludovisi,chiesa di san patrizio a villa ludovisi,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.90864562988281,12.492897987365723,3,3,Q1097613,way/203996025,OpenTripMap
W346391637,Chiesa di Sant'Antonio Abate all'Esquilino,chiesa di sant'antonio abate all'esquilino,Rome,Italy,"religion,churches,interesting_places,catholic_churches",41.897090911865234,12.500494003295898,3,3,Q2223869,way/346391637,OpenTripMap
Q3889720,Palazzo Brancaccio,palazzo brancaccio,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.89668655395508,12.499263763427734,7,7,Q3889720,,OpenTripMap
Q3673457,Santa Maria Maddalena al Quirinale,santa maria maddalena al quirinale,Rome,Italy,"religion,churches,interesting_places,other_churches",41.900047302246094,12.48842716217041,3,3,Q3673457,,OpenTripMap
W105281826,Mura Serviane,mura serviane,Rome,Italy,"fortifications,defensive_walls,historic,archaeology,interesting_places,other_archaeological_sites",41.89793014526367,12.502280235290527,3,3,Q281330,way/105281826,OpenTripMap
Q3944422,sacello di San Zenone,sacello di san zenone,Rome,Italy,"religion,churches,interesting_places,other_churches",41.89643478393555,12.49864673614502,3,3,Q3944422,,OpenTripMap
N3511203240,Chiesa di San Nicola,chiesa di san nicola,Rome,Italy,"religion,churches,interesting_places,eastern_orthodox_churches",41.904022216796875,12.50516128540039,3,3,Q4320442,node/3511203240,OpenTripMap
Q55183685,Palazzo Cimarra,palazzo cimarra,Rome,Italy,"palaces,architecture,historic_architecture,interesting_places",41.896610260009766,12.493110656738281,7,7,Q55183685,,OpenTripMap
